tool	error_type	error_rate	error_rate_pct	metric	n_pairs	delta_mae	delta_mae_ci_lo	delta_mae_ci_hi	delta_mae_hl	delta_mae_hl_ci_lo	delta_mae_hl_ci_hi	delta_signed_bias	delta_signed_bias_ci_lo	delta_signed_bias_ci_hi	p_wilcoxon	q_bh
cocopye	substitution	0.005	0.5	contamination	80	3.4742	2.7054	4.2878	3.4725	2.729	4.2953	5.0496	4.422	5.7361	9.481965901506064e-11	4.984804931077474e-10
cocopye	substitution	0.01	1.0	completeness	80	0.388	-0.0129	0.7829	0.3199	-0.0578	0.6892	-0.5529	-0.9785	-0.1031	0.09123889003293857	0.1540179428078963
cocopye	substitution	0.01	1.0	contamination	80	7.1858	6.0168	8.3797	7.1002	5.9832	8.3675	8.999	8.0055	10.0061	4.4083406286397873e-13	3.3797278152905036e-12
cocopye	substitution	0.02	2.0	completeness	80	0.4632	-0.0439	0.9554	0.355	-0.1263	0.8351	-1.028	-1.5378	-0.5233	0.12833479708420592	0.20533567533472946
cocopye	substitution	0.02	2.0	contamination	80	11.9767	10.5158	13.5105	11.9898	10.3534	13.6172	13.7995	12.3392	15.2416	1.6663671416354756e-14	2.78737776419025e-13
cocopye	substitution	0.05	5.0	completeness	80	1.8772	1.0021	2.7451	1.98	1.2141	2.8153	-3.0723	-4.0716	-2.0812	3.710457904919006e-05	0.00011192200893526182
cocopye	substitution	0.05	5.0	contamination	80	15.5213	13.6689	17.2421	15.5937	13.6418	17.5039	17.3905	15.7377	18.9965	9.847700597928496e-15	2.4306125144086476e-13
cocopye	substitution_titv	0.001	0.1	completeness	80	0.0709	-0.0135	0.1535	0.0494	0.0	0.0938	-0.0527	-0.1402	0.0363	0.05897086375346762	0.10642341923206088
cocopye	substitution_titv	0.001	0.1	contamination	80	0.3209	0.0849	0.5624	0.2825	0.0557	0.5307	0.734	0.5384	0.9456	0.013865100673075474	0.03073709064874563
cocopye	substitution_titv	0.005	0.5	completeness	80	0.3532	0.1523	0.5474	0.3372	0.1249	0.5179	-0.0398	-0.2774	0.1881	0.00046666619596537025	0.0012627438243768842
cocopye	substitution_titv	0.005	0.5	contamination	80	2.4348	1.7794	3.1455	2.523	1.9396	3.1463	3.9963	3.5668	4.4426	1.145925806265684e-08	5.1426914232411183e-08
cocopye	substitution_titv	0.01	1.0	completeness	80	0.1381	-0.2084	0.4682	0.1691	-0.16	0.4814	-0.1981	-0.5722	0.1865	0.33341534404135387	0.45443276521191933
cocopye	substitution_titv	0.01	1.0	contamination	80	5.0093	4.0892	5.917	5.2225	4.3196	6.1395	6.7501	6.0435	7.4659	6.283050611421366e-12	4.28178263889456e-11
cocopye	substitution_titv	0.02	2.0	completeness	80	0.3296	-0.1635	0.8216	0.3151	-0.1333	0.8731	-0.8071	-1.3686	-0.2699	0.1747001963357333	0.2701246733258397
cocopye	substitution_titv	0.02	2.0	contamination	80	9.5799	8.274	10.9518	9.665	8.2934	11.115	11.4491	10.321	12.6058	5.0673958037294504e-14	5.180004599367882e-13
cocopye	substitution_titv	0.05	5.0	completeness	80	1.5908	0.7526	2.4749	1.673	0.7988	2.5684	-2.8605	-3.8269	-1.8701	0.0003398963333307916	0.0009475897777706917
cocopye	substitution_titv	0.05	5.0	contamination	80	14.1762	12.3197	15.9754	14.3457	12.2842	16.3778	16.0454	14.3435	17.6499	2.0085732876088696e-14	2.8429037301540924e-13
cocopye	indel	0.001	0.1	completeness	80	0.2099	-0.4306	0.8331	0.2893	-0.1465	0.9248	-0.4108	-1.0993	0.2902	0.1700639204090445	0.26745095175439476
cocopye	indel	0.001	0.1	contamination	80	14.1557	12.4186	15.7873	14.2657	12.4444	16.1109	16.0089	14.3849	17.6045	1.0226231706471904e-14	2.4306125144086476e-13
cocopye	indel	0.005	0.5	completeness	80	1.5681	0.6984	2.4031	1.7438	0.8534	2.5989	1.163	0.1056	2.2239	0.0002785185790631956	0.0007884218238096614
cocopye	indel	0.005	0.5	contamination	80	17.1118	14.9393	19.1295	17.425	14.9031	19.9297	18.9785	16.9687	20.8966	1.605157999768754e-14	2.78737776419025e-13
cocopye	indel	0.01	1.0	completeness	80	2.2207	1.249	3.1781	2.0756	1.148	3.1235	-1.6103	-2.9083	-0.3476	5.059470311907124e-05	0.00015015202215982432
cocopye	indel	0.01	1.0	contamination	80	16.4287	14.3736	18.5567	16.6555	14.4262	18.9304	18.2238	16.0683	20.2877	2.7049761317164137e-14	3.3181040549054673e-13
cocopye	indel	0.02	2.0	completeness	80	4.0753	2.7544	5.3977	3.8972	2.3563	5.3155	-5.7697	-7.28	-4.337	1.0468529977150402e-06	3.931039828154437e-06
cocopye	indel	0.02	2.0	contamination	80	16.5585	14.3992	18.6356	16.8176	14.4797	19.0533	18.2568	16.1485	20.2732	3.023288422562067e-14	3.4767816859463766e-13
cocopye	indel	0.05	5.0	completeness	80	7.0709	5.2277	8.9172	6.8964	4.4726	8.6871	-9.5547	-11.4599	-7.6679	2.091162296563899e-09	9.865996476096346e-09
cocopye	indel	0.05	5.0	contamination	80	17.4943	15.5018	19.4017	17.7573	15.6746	20.1734	19.3635	17.5415	21.1331	1.1888865559607516e-14	2.4306125144086476e-13
cocopye	chimera	0.05	5.0	completeness	80	0.0001	0.0	0.0004	0.0	0.0	0.0	0.0001	0.0	0.0004	0.17971249487899976	0.27425042988135095
cocopye	chimera	0.05	5.0	contamination	80	-0.0003	-0.0018	0.0009	0.0	0.0	0.0	0.0003	-0.0009	0.0018	0.6547208460185769	0.704494945423498
cocopye	chimera	0.1	10.0	completeness	80	0.0009	-0.0001	0.0022	0.0	0.0	0.0	-0.0001	-0.0012	0.001	0.11585149752593009	0.19032746022117086
cocopye	chimera	0.1	10.0	contamination	80	-0.0025	-0.0084	0.001	0.0	0.0	0.0	-0.0032	-0.0091	0.0003	0.5001842570707944	0.6075809095942503
cocopye	chimera	0.2	20.0	completeness	80	-0.0023	-0.0093	0.0023	0.0	0.0	0.0	-0.003	-0.01	0.0015	0.7212766990291557	0.7671382232448823
cocopye	chimera	0.2	20.0	contamination	80	0.0123	0.0004	0.0296	0.0	0.0	0.0	0.0124	0.0003	0.0298	0.050612432239184685	0.09406755082838365
cocopye	chimera	0.4	40.0	completeness	80	0.0006	-0.0017	0.0027	0.0	0.0	0.0	-0.0009	-0.0032	0.0015	0.49791488806124606	0.6075809095942503
cocopye	chimera	0.4	40.0	contamination	80	0.0042	-0.0026	0.0121	0.0	0.0	0.0	0.0051	-0.0015	0.0129	0.3719737719646685	0.4923969355503526
cocopye	uneven_coverage	0.05	5.0	completeness	80	0.1201	-0.0905	0.3178	0.1865	0.002	0.3703	0.0678	-0.1486	0.2932	0.05899559109603375	0.10642341923206088
cocopye	uneven_coverage	0.05	5.0	contamination	80	2.2807	1.5669	2.9658	2.1381	1.3105	2.9008	3.2756	2.5885	3.9342	6.0753833663997e-08	2.540614862312602e-07
cocopye	uneven_coverage	0.1	10.0	completeness	80	0.2988	-0.0508	0.6506	0.2839	0.0	0.5781	-0.26	-0.6448	0.1257	0.06567499723483873	0.1150876142020031
cocopye	uneven_coverage	0.1	10.0	contamination	80	5.6249	4.4435	6.8316	5.5121	4.2337	6.6052	6.8678	5.6884	8.1073	1.702532083742584e-11	1.0105351722859208e-10
cocopye	uneven_coverage	0.2	20.0	completeness	80	0.6177	0.1178	1.1185	0.6004	0.0877	1.1434	-0.2413	-0.8411	0.3247	0.020975199041107683	0.0438572343586797
cocopye	uneven_coverage	0.2	20.0	contamination	80	9.5675	7.9326	11.3324	9.4358	7.5958	11.2447	11.3636	9.8398	12.9419	3.6926232973941923e-13	3.088375848729688e-12
cocopye	uneven_coverage	0.4	40.0	completeness	80	0.6568	-0.0479	1.3704	0.7908	0.0395	1.4227	-0.318	-1.2022	0.5212	0.030346381043072312	0.06204149013250339
cocopye	uneven_coverage	0.4	40.0	contamination	80	16.4146	14.6558	18.1803	16.4043	14.4241	18.32	18.0675	16.2431	19.8707	7.849526548031477e-15	2.4306125144086476e-13
deepcheck	substitution	0.001	0.1	completeness	80	-0.0006	-0.2298	0.2211	-0.0122	-0.2624	0.2183	-0.9118	-1.0722	-0.7438	0.9388299095423733	0.95439062627512
deepcheck	substitution	0.001	0.1	contamination	80	-0.0223	-0.1052	0.0647	-0.0449	-0.1014	0.0061	0.1803	0.1102	0.2554	0.07284327516992002	0.12526320216135778
deepcheck	substitution	0.005	0.5	completeness	80	0.9028	0.032	1.7368	0.9647	0.0426	1.8651	-3.9616	-4.3938	-3.5215	0.042475661278753414	0.08194314890284755
deepcheck	substitution	0.005	0.5	contamination	80	-0.2741	-0.5379	-0.0419	-0.2765	-0.5207	-0.0364	0.8501	0.6741	1.0423	0.035660828255257064	0.07055475697814301
deepcheck	substitution	0.01	1.0	completeness	80	3.4244	1.7595	5.1272	3.2432	1.7101	5.2418	-8.218	-9.1714	-7.3112	0.0002722338714574178	0.0007826723804400762
deepcheck	substitution	0.01	1.0	contamination	80	-0.2925	-0.6538	0.0783	-0.2901	-0.6191	0.0798	1.3382	1.0918	1.6094	0.09798149463356111	0.1638963182961386
