accession	bytes	status
GCA_006505855.1	0	FAIL https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/505/855/GCA_006505855.1_ASM650585v1/GCA_006505855.1_ASM650585v1_genomic.fna.gz
GCA_976989155.1	0	FAIL https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/976/989/155/GCA_976989155.1_CFBP13502/GCA_976989155.1_CFBP13502_genomic.fna.gz
GCA_052927305.1	844905	ok
GCA_019111725.1	917561	ok
GCA_052927075.1	910416	ok
GCA_019195155.1	890754	ok
GCA_019269775.1	926980	ok
GCA_052927645.1	899538	ok
GCA_052927345.1	887433	ok
GCA_019462715.1	936186	ok
GCA_053477115.1	931981	ok
GCA_019462795.1	934798	ok
GCA_052927465.1	914480	ok
GCA_019492045.1	1740805	ok
GCA_019492085.1	1633355	ok
GCA_024396895.1	1757999	ok
GCA_024397075.1	1646556	ok
GCA_019492125.1	1693563	ok
GCA_019492095.1	1699857	ok
GCA_030585525.1	1331430	ok
GCA_024397235.1	1726070	ok
GCA_019537145.1	1095184	ok
GCA_019537135.1	1312284	ok
GCA_019537175.1	1065468	cached
GCA_024396915.1	1706422	ok
GCA_030585565.1	1085472	cached
GCA_019537185.1	1544474	cached
GCA_030585445.1	1575506	cached
GCA_024730565.1	1125389	ok
GCA_030585465.1	1416300	ok
GCA_024396875.1	1714945	ok
GCA_019537155.1	1400281	ok
GCA_020164605.1	1468339	ok
GCA_016811135.4	1461663	ok
GCA_020443485.1	1394176	ok
GCA_019492205.1	1710315	ok
GCA_020554685.1	1233932	cached
GCA_036419255.1	1176985	cached
GCA_020557405.1	1050484	cached
GCA_036419155.1	1066197	cached
GCA_020443575.1	1565498	ok
GCA_020558245.1	2017452	cached
GCA_036419675.1	2037570	cached
GCA_020560045.1	1571469	cached
GCA_026650945.1	1565544	ok
GCA_036419695.1	1578431	cached
GCA_026650905.1	1578227	ok
GCA_020443665.1	1541669	ok
GCA_020555615.1	1180631	ok
GCA_036419135.1	1183139	ok
GCA_026650925.1	1412607	ok
GCA_020560415.1	890012	ok
GCA_036419515.1	908172	ok
GCA_022024315.1	1619539	ok
GCA_020710135.1	1610748	ok
