cohort	clustering_unit	grouping	stratum	n_genomes	metric	weighted_median	ci95_lo	ci95_hi	weighted_mean	mean_ci95_lo	mean_ci95_hi
catalogue_weighted_no_nr_adjustment	family	size_bin	1-2Mb	89416	contamination_MAGICC_minus_CheckM2	-0.5501	-0.7265	-0.3799	-0.7987	-1.0764	-0.4461
catalogue_weighted_no_nr_adjustment	family	size_bin	2-3Mb	78986	completeness_MAGICC_minus_CheckM2	1.4645	0.5789	2.0139	1.8574	0.9422	2.3959
catalogue_weighted_no_nr_adjustment	family	size_bin	2-3Mb	78986	contamination_MAGICC_minus_CheckM2	-0.6935	-0.8366	-0.4694	-0.9938	-1.2265	-0.5443
catalogue_weighted_no_nr_adjustment	family	size_bin	3-5Mb	34179	completeness_MAGICC_minus_CheckM2	1.9725	0.5172	2.9638	2.7157	1.3641	3.6536
catalogue_weighted_no_nr_adjustment	family	size_bin	3-5Mb	34179	contamination_MAGICC_minus_CheckM2	-0.8370	-1.0969	-0.5068	-0.6095	-1.1821	0.3754
catalogue_weighted_no_nr_adjustment	family	size_bin	>5Mb	5710	completeness_MAGICC_minus_CheckM2	2.3468	1.1663	3.1797	3.2688	2.4074	3.9522
catalogue_weighted_no_nr_adjustment	family	size_bin	>5Mb	5710	contamination_MAGICC_minus_CheckM2	-1.0296	-1.7291	-0.0264	3.3452	0.2667	8.4342
catalogue_weighted_no_nr_adjustment	family	lineage_reduction	<-1 (>=2x reduced)	27791	completeness_MAGICC_minus_CheckM2	-3.8593	-4.8239	-2.8199	-5.2067	-6.0845	-4.1554
catalogue_weighted_no_nr_adjustment	family	lineage_reduction	<-1 (>=2x reduced)	27791	contamination_MAGICC_minus_CheckM2	-0.1558	-0.2756	-0.0845	-0.1352	-0.4625	0.2069
catalogue_weighted_no_nr_adjustment	family	lineage_reduction	-1 to -0.5	39038	completeness_MAGICC_minus_CheckM2	-1.1848	-2.0635	-0.5337	-2.4905	-3.6083	-1.5644
catalogue_weighted_no_nr_adjustment	family	lineage_reduction	-1 to -0.5	39038	contamination_MAGICC_minus_CheckM2	-0.4028	-0.5337	-0.2976	-0.6724	-0.8856	-0.4283
catalogue_weighted_no_nr_adjustment	family	lineage_reduction	-0.5 to -0.25	35035	completeness_MAGICC_minus_CheckM2	-0.1927	-1.1185	0.2369	-1.1015	-2.2254	-0.2885
catalogue_weighted_no_nr_adjustment	family	lineage_reduction	-0.5 to -0.25	35035	contamination_MAGICC_minus_CheckM2	-0.5792	-0.7361	-0.4279	-0.8369	-1.0780	-0.5081
catalogue_weighted_no_nr_adjustment	family	lineage_reduction	-0.25 to +0.25 (typical)	94190	completeness_MAGICC_minus_CheckM2	0.7080	0.1139	1.2518	0.6234	-0.2276	1.2927
catalogue_weighted_no_nr_adjustment	family	lineage_reduction	-0.25 to +0.25 (typical)	94190	contamination_MAGICC_minus_CheckM2	-0.6325	-0.8092	-0.4103	-0.8653	-1.1959	-0.3748
catalogue_weighted_no_nr_adjustment	family	lineage_reduction	>+0.25 (larger than lineage)	69889	completeness_MAGICC_minus_CheckM2	1.9481	0.5917	2.7203	2.5601	1.2224	3.2969
catalogue_weighted_no_nr_adjustment	family	lineage_reduction	>+0.25 (larger than lineage)	69889	contamination_MAGICC_minus_CheckM2	-0.7677	-0.9473	-0.4545	-0.3724	-0.8597	0.5943
catalogue_weighted_no_nr_adjustment	family	phylum	Acidobacteriota	1639	completeness_MAGICC_minus_CheckM2	1.7477	0.4470	2.8813	1.7600	0.0516	3.2430
catalogue_weighted_no_nr_adjustment	family	phylum	Acidobacteriota	1639	contamination_MAGICC_minus_CheckM2	-0.8436	-1.0959	-0.5094	1.3634	0.4536	2.5557
catalogue_weighted_no_nr_adjustment	family	phylum	Actinobacteriota	19468	completeness_MAGICC_minus_CheckM2	-0.0632	-0.5758	0.8790	-0.5978	-1.8326	0.4844
catalogue_weighted_no_nr_adjustment	family	phylum	Actinobacteriota	19468	contamination_MAGICC_minus_CheckM2	-0.6222	-0.8392	-0.5058	-0.8410	-1.1335	-0.2433
catalogue_weighted_no_nr_adjustment	family	phylum	Aenigmatarchaeota	441	completeness_MAGICC_minus_CheckM2	-20.5936	-23.3783	-18.6749	-20.0742	-21.7738	-18.3124
catalogue_weighted_no_nr_adjustment	family	phylum	Aenigmatarchaeota	441	contamination_MAGICC_minus_CheckM2	6.4745	3.9219	14.6735	12.3996	8.8411	16.6689
catalogue_weighted_no_nr_adjustment	family	phylum	Armatimonadota	963	completeness_MAGICC_minus_CheckM2	4.9903	1.8541	8.9108	5.7919	1.6974	9.6936
catalogue_weighted_no_nr_adjustment	family	phylum	Armatimonadota	963	contamination_MAGICC_minus_CheckM2	-0.9146	-1.5206	-0.2546	1.6543	-0.1976	3.3184
