cohort	clustering_unit	grouping	stratum	n_genomes	statistic	estimate	ci95_lo	ci95_hi	design_se	design_ci95_lo	design_ci95_hi	note
catalogue_weighted	family	size_bin	2-3Mb	78986	p_downgrade	0.0867367	0.0666941	0.127446	0.00147185	0.0838519	0.0896215	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	p_upgrade	0.165625	0.138697	0.188298	0.00197654	0.161751	0.169499	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	p_HQ_checkm2	0.402998	0.325116	0.495853	0.00260024	0.397902	0.408095	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	p_HQ_magicc	0.491099	0.400275	0.568165	0.00265228	0.485901	0.496298	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	HQ_downgrade_rate	0.19223	0.153461	0.260788	0.00325875	0.185843	0.198617	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	HQ_to_MQ_rate	0.17734	0.142649	0.23809	0.00316656	0.171134	0.183547	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	HQ_to_LQ_rate	0.01489	0.00953412	0.0254277	0.000957521	0.0130133	0.0167667	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	MQ_to_HQ_rate	0.277374	0.215018	0.344049	0.0030813	0.271335	0.283413	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	MQ_to_LQ_rate	0.0155268	0.0095525	0.0317789	0.00081625	0.0139269	0.0171266	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	LQ_to_higher_rate	0.666667	0.2	1	0.271052	0.135414	1.19792	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
