cohort	clustering_unit	grouping	stratum	n_genomes	metric	weighted_median	ci95_lo	ci95_hi	weighted_mean	mean_ci95_lo	mean_ci95_hi
S1_small_census	family	phylum	Firmicutes_C	405	contamination_MAGICC_minus_CheckM2	-0.0978	-0.1098	-0.0343	-0.2805	-0.5113	-0.2088
S1_small_census	family	phylum	Nanoarchaeota	667	completeness_MAGICC_minus_CheckM2	-17.0511	-20.3352	-16.0329	-16.5045	-18.9104	-15.3445
S1_small_census	family	phylum	Nanoarchaeota	667	contamination_MAGICC_minus_CheckM2	3.6065	0.7538	4.8768	6.4706	4.4271	7.6670
S1_small_census	family	phylum	Patescibacteria	7318	completeness_MAGICC_minus_CheckM2	-9.8626	-11.7573	-7.8954	-10.2005	-11.5048	-8.9909
S1_small_census	family	phylum	Patescibacteria	7318	contamination_MAGICC_minus_CheckM2	0.1883	0.0729	0.3732	1.8766	1.4059	2.3881
S1_small_census	family	phylum	Proteobacteria	1400	completeness_MAGICC_minus_CheckM2	-3.4291	-4.6022	-2.2745	-4.1550	-6.6143	-2.6469
S1_small_census	family	phylum	Proteobacteria	1400	contamination_MAGICC_minus_CheckM2	-0.2438	-0.6875	-0.0781	-0.2122	-0.8571	0.6817
S1_small_census	family	phylum	Thermoplasmatota	273	completeness_MAGICC_minus_CheckM2	-4.7447	-8.3364	-2.8969	-6.6766	-10.4073	-4.6514
S1_small_census	family	phylum	Thermoplasmatota	273	contamination_MAGICC_minus_CheckM2	-0.2200	-0.3981	0.0085	-0.3982	-0.9534	1.1771
S1_small_census	family	phylum	Thermoproteota	335	completeness_MAGICC_minus_CheckM2	-4.6593	-9.2138	-3.8117	-6.8802	-11.4412	-4.9183
S1_small_census	family	phylum	Thermoproteota	335	contamination_MAGICC_minus_CheckM2	-0.0960	-0.3266	0.2447	0.2192	-0.9946	2.5924
S1_small_census	family	phylum	other (<200 in cohort)	1373	completeness_MAGICC_minus_CheckM2	-7.8119	-10.8562	-4.4348	-10.1092	-12.1635	-8.1659
S1_small_census	family	phylum	other (<200 in cohort)	1373	contamination_MAGICC_minus_CheckM2	0.0734	0.0087	0.3011	2.7300	1.5875	4.0840
S2_rare_phylum_census	family	overall	ALL	554	completeness_MAGICC_minus_CheckM2	0.4404	-0.5824	1.4340	-0.3061	-1.9778	1.3723
S2_rare_phylum_census	family	overall	ALL	554	contamination_MAGICC_minus_CheckM2	-0.1061	-0.3688	0.1772	5.2342	3.6377	6.5858
S2_rare_phylum_census	family	size_bin	1-2Mb	174	completeness_MAGICC_minus_CheckM2	-4.4024	-7.9505	-1.0857	-6.0019	-9.0266	-3.1870
S2_rare_phylum_census	family	size_bin	1-2Mb	174	contamination_MAGICC_minus_CheckM2	-0.0180	-0.2607	0.3483	3.7165	1.7411	6.2647
S2_rare_phylum_census	family	size_bin	2-3Mb	177	completeness_MAGICC_minus_CheckM2	-0.1065	-2.4973	1.4157	-1.6397	-3.7738	0.6086
S2_rare_phylum_census	family	size_bin	2-3Mb	177	contamination_MAGICC_minus_CheckM2	-0.5286	-0.8771	-0.1591	1.6123	0.3398	3.2562
S2_rare_phylum_census	family	size_bin	3-5Mb	158	completeness_MAGICC_minus_CheckM2	4.5213	2.0152	6.6900	6.6120	4.0118	9.4368
S2_rare_phylum_census	family	size_bin	3-5Mb	158	contamination_MAGICC_minus_CheckM2	-0.3001	-0.6982	1.4421	5.1238	3.1714	7.3555
S2_rare_phylum_census	family	size_bin	>5Mb	45	completeness_MAGICC_minus_CheckM2	0.7312	-0.7349	3.0862	2.6733	-1.0727	7.0582
S2_rare_phylum_census	family	size_bin	>5Mb	45	contamination_MAGICC_minus_CheckM2	15.4920	2.3386	43.9798	25.7358	14.6825	38.9804
