accession	description	study_accession
GCA_902585915	AG-913-B02 assembly for uncultured prokaryote	PRJEB33281
GCA_902585925	AG-435-C09 assembly for uncultured prokaryote	PRJEB33281
GCA_902585935	AG-913-A21 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902585945	AG-435-E03 assembly for Rhodospirillaceae bacterium	PRJEB33281
GCA_902585955	AG-435-D21 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902585965	AG-913-A18 assembly for uncultured prokaryote	PRJEB33281
GCA_902585975	AG-913-B10 assembly for uncultured prokaryote	PRJEB33281
GCA_902585985	AG-913-B08 assembly for uncultured prokaryote	PRJEB33281
GCA_902585995	AG-435-G02 assembly for uncultured prokaryote	PRJEB33281
GCA_902586005	AG-435-F22 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902586015	AG-435-E05 assembly for uncultured prokaryote	PRJEB33281
GCA_902586025	AG-913-B14 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902586035	AG-913-D10 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902586045	AG-435-E16 assembly for uncultured prokaryote	PRJEB33281
GCA_902586055	AG-913-D08 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902586065	AG-435-F23 assembly for uncultured prokaryote	PRJEB33281
GCA_902586075	AG-913-D03 assembly for uncultured prokaryote	PRJEB33281
GCA_902586085	AG-913-D05 assembly for uncultured prokaryote	PRJEB33281
GCA_902586095	AG-913-B15 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902586105	AG-435-E13 assembly for uncultured prokaryote	PRJEB33281
GCA_902586115	AG-435-E19 assembly for uncultured prokaryote	PRJEB33281
GCA_902586125	AG-913-B21 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902586135	AG-913-B22 assembly for uncultured prokaryote	PRJEB33281
GCA_902586145	AG-913-B17 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902586155	AG-435-F06 assembly for uncultured prokaryote	PRJEB33281
GCA_902586165	AG-435-F05 assembly for uncultured prokaryote	PRJEB33281
GCA_902586175	AG-435-E22 assembly for uncultured prokaryote	PRJEB33281
GCA_902586185	AG-435-F03 assembly for uncultured PS1 clade bacterium	PRJEB33281
GCA_902586195	AG-913-B20 assembly for uncultured beta proteobacterium	PRJEB33281
GCA_902586205	AG-435-E23 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902586215	AG-913-B18 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902586225	AG-913-B19 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902586235	AG-913-D11 assembly for uncultured prokaryote	PRJEB33281
GCA_902586245	AG-435-G17 assembly for uncultured prokaryote	PRJEB33281
GCA_902586255	AG-435-G09 assembly for uncultured prokaryote	PRJEB33281
GCA_902586265	AG-435-G05 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902586275	AG-913-C11 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902586285	AG-913-C17 assembly for uncultured prokaryote	PRJEB33281
GCA_902586295	AG-435-G07 assembly for uncultured prokaryote	PRJEB33281
GCA_902586305	AG-913-D18 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902586315	AG-435-G14 assembly for uncultured prokaryote	PRJEB33281
GCA_902586325	AG-435-G10 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902586335	AG-913-D16 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902586345	AG-435-F09 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902586355	AG-913-D15 assembly for uncultured prokaryote	PRJEB33281
GCA_902586365	AG-913-D23 assembly for uncultured prokaryote	PRJEB33281
GCA_902586375	AG-913-E04 assembly for uncultured prokaryote	PRJEB33281
GCA_902586385	AG-913-D22 assembly for uncultured prokaryote	PRJEB33281
GCA_902586395	AG-435-I03 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902586405	AG-435-G22 assembly for uncultured prokaryote	PRJEB33281
GCA_902586415	AG-913-E02 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902586425	AG-913-E03 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902586435	AG-435-G19 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902586445	AG-435-G21 assembly for uncultured prokaryote	PRJEB33281
GCA_902586455	AG-435-E07 assembly for uncultured prokaryote	PRJEB33281
GCA_902586465	AG-435-E14 assembly for uncultured prokaryote	PRJEB33281
GCA_902586475	AG-913-B16 assembly for uncultured prokaryote	PRJEB33281
GCA_902586485	AG-913-E07 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902586495	AG-913-E11 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902586505	AG-913-E15 assembly for uncultured prokaryote	PRJEB33281
GCA_902586515	AG-435-I14 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902586525	AG-913-D09 assembly for uncultured prokaryote	PRJEB33281
GCA_902586535	AG-913-E09 assembly for uncultured prokaryote	PRJEB33281
GCA_902586545	AG-435-I13 assembly for uncultured prokaryote	PRJEB33281
GCA_902586555	AG-913-E13 assembly for uncultured prokaryote	PRJEB33281
GCA_902586565	AG-435-I17 assembly for uncultured Gammaproteobacteria bacterium	PRJEB33281
GCA_902586575	AG-435-I15 assembly for uncultured prokaryote	PRJEB33281
GCA_902586585	AG-435-J07 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902586595	AG-435-J03 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902586605	AG-435-I06 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902586615	AG-435-I21 assembly for uncultured prokaryote	PRJEB33281
GCA_902586625	AG-435-I08 assembly for uncultured prokaryote	PRJEB33281
GCA_902586635	AG-913-E20 assembly for uncultured prokaryote	PRJEB33281
GCA_902586645	AG-435-I20 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902586655	AG-913-E19 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902586665	AG-435-J16 assembly for uncultured prokaryote	PRJEB33281
GCA_902586675	AG-435-J14 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902586685	AG-435-K05 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902586695	AG-435-K07 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902586705	AG-435-K08 assembly for uncultured prokaryote	PRJEB33281
GCA_902586715	AG-913-E05 assembly for uncultured prokaryote	PRJEB33281
GCA_902586725	AG-913-F13 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902586735	AG-913-F16 assembly for uncultured prokaryote	PRJEB33281
GCA_902586745	AG-913-F14 assembly for uncultured Synechococcaceae cyanobacterium	PRJEB33281
GCA_902586755	AG-435-K06 assembly for uncultured prokaryote	PRJEB33281
GCA_902586765	AG-435-K02 assembly for uncultured prokaryote	PRJEB33281
GCA_902586775	AG-435-I04 assembly for uncultured prokaryote	PRJEB33281
GCA_902586785	AG-435-K17 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902586795	AG-913-G10 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902586805	AG-435-K21 assembly for uncultured prokaryote	PRJEB33281
GCA_902586815	AG-435-K20 assembly for uncultured prokaryote	PRJEB33281
GCA_902586825	AG-913-G08 assembly for uncultured prokaryote	PRJEB33281
GCA_902586835	AG-913-G04 assembly for uncultured prokaryote	PRJEB33281
GCA_902586845	AG-435-K11 assembly for uncultured prokaryote	PRJEB33281
GCA_902586855	AG-435-K15 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902586865	AG-913-G16 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902586875	AG-435-K14 assembly for uncultured prokaryote	PRJEB33281
GCA_902586885	AG-435-J13 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902586895	AG-913-F19 assembly for uncultured prokaryote	PRJEB33281
GCA_902586905	AG-913-F17 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902586915	AG-435-K16 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902586925	AG-913-G13 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902586935	AG-913-G21 assembly for uncultured prokaryote	PRJEB33281
GCA_902586945	AG-435-L07 assembly for uncultured prokaryote	PRJEB33281
GCA_902586955	AG-435-J02 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902586965	AG-435-J05 assembly for uncultured prokaryote	PRJEB33281
GCA_902586975	AG-913-G22 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902586985	AG-913-G19 assembly for uncultured prokaryote	PRJEB33281
GCA_902586995	AG-913-E17 assembly for uncultured prokaryote	PRJEB33281
GCA_902587005	AG-913-F02 assembly for uncultured prokaryote	PRJEB33281
GCA_902587015	AG-435-L08 assembly for uncultured prokaryote	PRJEB33281
GCA_902587025	AG-913-F10 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902587035	AG-435-L10 assembly for uncultured prokaryote	PRJEB33281
GCA_902587045	AG-913-I04 assembly for uncultured prokaryote	PRJEB33281
GCA_902587055	AG-435-M06 assembly for uncultured prokaryote	PRJEB33281
GCA_902587065	AG-435-L21 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902587075	AG-435-M05 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902587085	AG-435-M03 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902587095	AG-913-I22 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902587105	AG-435-M07 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902587115	AG-913-J02 assembly for uncultured prokaryote	PRJEB33281
GCA_902587125	AG-913-I23 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902587135	AG-913-J06 assembly for uncultured prokaryote	PRJEB33281
GCA_902587145	AG-913-G06 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902587155	AG-913-G03 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902587165	AG-913-J04 assembly for Puniceicoccaceae bacterium	PRJEB33281
GCA_902587175	AG-435-M20 assembly for uncultured prokaryote	PRJEB33281
GCA_902587185	AG-913-K07 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902587195	AG-913-J03 assembly for uncultured prokaryote	PRJEB33281
GCA_902587205	AG-435-M23 assembly for uncultured prokaryote	PRJEB33281
GCA_902587215	AG-435-M22 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902587225	AG-913-K08 assembly for uncultured prokaryote	PRJEB33281
GCA_902587235	AG-913-J21 assembly for uncultured prokaryote	PRJEB33281
GCA_902587245	AG-913-J22 assembly for uncultured prokaryote	PRJEB33281
GCA_902587255	AG-435-M19 assembly for uncultured prokaryote	PRJEB33281
GCA_902587265	AG-913-J18 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902587275	AG-913-K03 assembly for uncultured prokaryote	PRJEB33281
GCA_902587285	AG-913-J19 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902587295	AG-435-M21 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902587305	AG-913-K10 assembly for uncultured prokaryote	PRJEB33281
GCA_902587315	AG-435-N04 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902587325	AG-913-K11 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902587335	AG-435-L03 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902587345	AG-435-N05 assembly for uncultured prokaryote	PRJEB33281
GCA_902587355	AG-913-F03 assembly for uncultured prokaryote	PRJEB33281
GCA_902587365	AG-913-I05 assembly for uncultured prokaryote	PRJEB33281
GCA_902587375	AG-913-F07 assembly for uncultured prokaryote	PRJEB33281
GCA_902587385	AG-435-J20 assembly for uncultured prokaryote	PRJEB33281
GCA_902587395	AG-435-L13 assembly for uncultured prokaryote	PRJEB33281
GCA_902587405	AG-435-L04 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902587415	AG-913-I06 assembly for uncultured prokaryote	PRJEB33281
GCA_902587425	AG-435-L19 assembly for Actinomycetota bacterium	PRJEB33281
GCA_902587435	AG-435-J18 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902587445	AG-435-L05 assembly for uncultured prokaryote	PRJEB33281
GCA_902587455	AG-435-J22 assembly for uncultured prokaryote	PRJEB33281
GCA_902587465	AG-435-L15 assembly for uncultured prokaryote	PRJEB33281
GCA_902587475	AG-435-L17 assembly for uncultured Fidelibacterota bacterium	PRJEB33281
GCA_902587485	AG-913-J07 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902587495	AG-913-I09 assembly for uncultured prokaryote	PRJEB33281
GCA_902587505	AG-435-M09 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902587515	AG-913-I14 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902587525	AG-435-L14 assembly for uncultured prokaryote	PRJEB33281
GCA_902587535	AG-913-I20 assembly for uncultured prokaryote	PRJEB33281
GCA_902587545	AG-913-G18 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902587555	AG-913-I11 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902587565	AG-913-F06 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902587575	AG-435-K09 assembly for uncultured prokaryote	PRJEB33281
GCA_902587585	AG-913-I15 assembly for uncultured prokaryote	PRJEB33281
GCA_902587595	AG-435-N06 assembly for uncultured prokaryote	PRJEB33281
GCA_902587605	AG-435-K04 assembly for uncultured prokaryote	PRJEB33281
GCA_902587615	AG-435-K18 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902587625	AG-435-L02 assembly for uncultured prokaryote	PRJEB33281
GCA_902587635	AG-913-K14 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902587645	AG-435-L20 assembly for uncultured SAR324 cluster bacterium	PRJEB33281
GCA_902587655	AG-435-N02 assembly for uncultured prokaryote	PRJEB33281
GCA_902587665	AG-913-K15 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902587675	AG-913-K17 assembly for uncultured prokaryote	PRJEB33281
GCA_902587685	AG-913-K21 assembly for uncultured prokaryote	PRJEB33281
GCA_902587695	AG-913-K13 assembly for uncultured prokaryote	PRJEB33281
GCA_902587705	AG-435-N18 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902587715	AG-435-N11 assembly for uncultured prokaryote	PRJEB33281
GCA_902587725	AG-435-N09 assembly for uncultured prokaryote	PRJEB33281
GCA_902587735	AG-435-N15 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902587745	AG-435-N10 assembly for uncultured prokaryote	PRJEB33281
GCA_902587755	AG-913-L03 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902587765	AG-435-N16 assembly for uncultured prokaryote	PRJEB33281
GCA_902587775	AG-435-N03 assembly for uncultured prokaryote	PRJEB33281
GCA_902587785	AG-913-L04 assembly for uncultured prokaryote	PRJEB33281
GCA_902587795	AG-435-O03 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902587805	AG-435-O14 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902587815	AG-913-L07 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902587825	AG-435-O09 assembly for uncultured prokaryote	PRJEB33281
GCA_902587835	AG-913-L05 assembly for uncultured prokaryote	PRJEB33281
GCA_902587845	AG-913-K22 assembly for uncultured prokaryote	PRJEB33281
GCA_902587855	AG-435-N21 assembly for uncultured Candidatus Hydrogenedens sp.	PRJEB33281
GCA_902587865	AG-913-L06 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902587875	AG-913-L15 assembly for uncultured prokaryote	PRJEB33281
GCA_902587885	AG-435-O10 assembly for uncultured prokaryote	PRJEB33281
GCA_902587895	AG-913-L13 assembly for uncultured prokaryote	PRJEB33281
GCA_902587905	AG-913-L09 assembly for uncultured prokaryote	PRJEB33281
GCA_902587915	AG-435-O11 assembly for uncultured prokaryote	PRJEB33281
GCA_902587925	AG-913-L16 assembly for Halieaceae bacterium	PRJEB33281
GCA_902587935	AG-435-O06 assembly for uncultured prokaryote	PRJEB33281
GCA_902587945	AG-435-O02 assembly for uncultured prokaryote	PRJEB33281
GCA_902587955	AG-913-L18 assembly for uncultured prokaryote	PRJEB33281
GCA_902587965	AG-913-I21 assembly for uncultured prokaryote	PRJEB33281
GCA_902587975	AG-435-L23 assembly for uncultured prokaryote	PRJEB33281
GCA_902587985	AG-435-M08 assembly for Actinomycetota bacterium	PRJEB33281
GCA_902587995	AG-913-J16 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902588005	AG-435-L16 assembly for uncultured prokaryote	PRJEB33281
GCA_902588015	AG-913-J08 assembly for uncultured prokaryote	PRJEB33281
GCA_902588025	AG-435-M14 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902588035	AG-913-J11 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902588045	AG-913-J14 assembly for uncultured prokaryote	PRJEB33281
GCA_902588055	AG-435-P09 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902588065	AG-913-M13 assembly for uncultured prokaryote	PRJEB33281
GCA_902588075	AG-913-M15 assembly for uncultured prokaryote	PRJEB33281
GCA_902588085	AG-435-M17 assembly for uncultured prokaryote	PRJEB33281
GCA_902588095	AG-913-J17 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902588105	AG-435-P13 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902588115	AG-435-O21 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902588125	AG-913-L19 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902588135	AG-913-M17 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902588145	AG-435-P10 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902588155	AG-435-N13 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902588165	AG-435-P19 assembly for uncultured prokaryote	PRJEB33281
GCA_902588175	AG-913-L08 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902588185	AG-435-O07 assembly for uncultured prokaryote	PRJEB33281
GCA_902588195	AG-913-L11 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902588205	AG-435-P16 assembly for uncultured prokaryote	PRJEB33281
GCA_902588215	AG-913-M21 assembly for uncultured prokaryote	PRJEB33281
GCA_902588225	AG-913-L10 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902588235	AG-435-P18 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902588245	AG-913-M20 assembly for uncultured prokaryote	PRJEB33281
GCA_902588255	AG-439-A02 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902588265	AG-435-P21 assembly for uncultured prokaryote	PRJEB33281
GCA_902588275	AG-439-A03 assembly for uncultured prokaryote	PRJEB33281
GCA_902588285	AG-913-M23 assembly for uncultured prokaryote	PRJEB33281
GCA_902588295	AG-435-N23 assembly for Hydrogenophilales bacterium	PRJEB33281
GCA_902588305	AG-913-N09 assembly for uncultured prokaryote	PRJEB33281
GCA_902588315	AG-913-N11 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902588325	AG-439-A10 assembly for uncultured prokaryote	PRJEB33281
GCA_902588335	AG-439-A05 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902588345	AG-439-A15 assembly for uncultured prokaryote	PRJEB33281
GCA_902588355	AG-439-A14 assembly for uncultured prokaryote	PRJEB33281
GCA_902588365	AG-913-N04 assembly for uncultured prokaryote	PRJEB33281
GCA_902588375	AG-439-A08 assembly for uncultured prokaryote	PRJEB33281
GCA_902588385	AG-435-O16 assembly for uncultured prokaryote	PRJEB33281
GCA_902588395	AG-913-N08 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902588405	AG-913-N17 assembly for uncultured prokaryote	PRJEB33281
GCA_902588415	AG-439-A12 assembly for uncultured prokaryote	PRJEB33281
GCA_902588425	AG-913-N14 assembly for uncultured prokaryote	PRJEB33281
GCA_902588435	AG-913-N21 assembly for uncultured prokaryote	PRJEB33281
GCA_902588445	AG-913-N19 assembly for uncultured prokaryote	PRJEB33281
GCA_902588455	AG-913-M18 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902588465	AG-913-O04 assembly for uncultured prokaryote	PRJEB33281
GCA_902588475	AG-913-O08 assembly for uncultured prokaryote	PRJEB33281
GCA_902588485	AG-913-O09 assembly for uncultured prokaryote	PRJEB33281
GCA_902588495	AG-913-O16 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902588505	AG-913-P03 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902588515	AG-913-N02 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902588525	AG-439-C09 assembly for uncultured SAR324 cluster bacterium	PRJEB33281
GCA_902588535	AG-439-C07 assembly for Paracoccaceae bacterium	PRJEB33281
GCA_902588545	AG-913-O22 assembly for uncultured prokaryote	PRJEB33281
GCA_902588555	AG-439-C03 assembly for uncultured Gemmatimonadota bacterium	PRJEB33281
GCA_902588565	AG-913-O19 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902588575	AG-913-O21 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902588585	AG-439-C08 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902588595	AG-439-C20 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902588605	AG-913-P18 assembly for uncultured prokaryote	PRJEB33281
GCA_902588615	AG-913-P01 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902588625	AG-439-C13 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902588635	AG-439-C02 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902588645	AG-439-D04 assembly for uncultured prokaryote	PRJEB33281
GCA_902588655	AG-439-C10 assembly for uncultured prokaryote	PRJEB33281
GCA_902588665	AG-435-O18 assembly for uncultured prokaryote	PRJEB33281
GCA_902588675	AG-913-P22 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902588685	AG-435-P04 assembly for uncultured prokaryote	PRJEB33281
GCA_902588695	AG-435-P15 assembly for uncultured prokaryote	PRJEB33281
GCA_902588705	AG-913-M11 assembly for uncultured prokaryote	PRJEB33281
GCA_902588715	AG-435-P11 assembly for uncultured prokaryote	PRJEB33281
GCA_902588725	AG-435-O17 assembly for uncultured prokaryote	PRJEB33281
GCA_902588735	AG-439-D08 assembly for uncultured prokaryote	PRJEB33281
GCA_902588745	AG-913-M07 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902588755	AG-439-B05 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902588765	AG-913-L23 assembly for uncultured prokaryote	PRJEB33281
GCA_902588775	AG-913-M03 assembly for uncultured prokaryote	PRJEB33281
GCA_902588785	AG-439-D15 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902588795	AG-439-D18 assembly for uncultured SAR202 cluster bacterium	PRJEB33281
GCA_902588805	AG-914-A11 assembly for uncultured prokaryote	PRJEB33281
GCA_902588815	AG-439-D14 assembly for uncultured prokaryote	PRJEB33281
GCA_902588825	AG-439-D17 assembly for uncultured prokaryote	PRJEB33281
GCA_902588835	AG-914-A09 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902588845	AG-914-A07 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902588855	AG-439-D13 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902588865	AG-913-P17 assembly for uncultured prokaryote	PRJEB33281
GCA_902588875	AG-913-P05 assembly for uncultured prokaryote	PRJEB33281
GCA_902588885	AG-913-P02 assembly for uncultured prokaryote	PRJEB33281
GCA_902588895	AG-439-C21 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902588905	AG-914-A14 assembly for uncultured prokaryote	PRJEB33281
GCA_902588915	AG-914-A22 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902588925	AG-914-B03 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902588935	AG-439-C15 assembly for uncultured prokaryote	PRJEB33281
GCA_902588945	AG-913-P10 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902588955	AG-914-A20 assembly for uncultured prokaryote	PRJEB33281
GCA_902588965	AG-439-C18 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902588975	AG-914-B04 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902588985	AG-914-B09 assembly for uncultured prokaryote	PRJEB33281
GCA_902588995	AG-439-E16 assembly for uncultured marine group I thaumarchaeote	PRJEB33281
GCA_902589005	AG-439-D20 assembly for uncultured prokaryote	PRJEB33281
GCA_902589015	AG-914-B08 assembly for uncultured prokaryote	PRJEB33281
GCA_902589025	AG-913-N07 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902589035	AG-439-D03 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902589045	AG-913-P07 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902589055	AG-914-B06 assembly for uncultured prokaryote	PRJEB33281
GCA_902589065	AG-439-E18 assembly for uncultured prokaryote	PRJEB33281
GCA_902589075	AG-913-N15 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902589085	AG-913-O02 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902589095	AG-439-A19 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902589105	AG-439-A17 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902589115	AG-439-E13 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902589125	AG-439-D09 assembly for uncultured prokaryote	PRJEB33281
GCA_902589135	AG-914-A08 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902589145	AG-914-B17 assembly for uncultured prokaryote	PRJEB33281
GCA_902589155	AG-439-F03 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902589165	AG-439-F08 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902589175	AG-914-B16 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902589185	AG-439-F07 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902589195	AG-439-D12 assembly for uncultured prokaryote	PRJEB33281
GCA_902589205	AG-913-O14 assembly for uncultured Gammaproteobacteria bacterium	PRJEB33281
GCA_902589215	AG-914-A05 assembly for uncultured prokaryote	PRJEB33281
GCA_902589225	AG-439-F15 assembly for uncultured prokaryote	PRJEB33281
GCA_902589235	AG-913-O20 assembly for Actinomycetota bacterium	PRJEB33281
GCA_902589245	AG-913-P09 assembly for uncultured prokaryote	PRJEB33281
