scope	tool	tool_label	metric	error_kind	covariate	n	n_clusters	spearman_rho	rho_ci_lo	rho_ci_hi	p_cluster_bootstrap
set_E	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	completeness	signed	log10_dominant_genome_size_mbp	1000	785	0.12418025786425814	0.06091015933983039	0.18218440539140862	0.0009995002498750624
set_E	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	contamination	abs	log10_dominant_genome_size_mbp	1000	785	-0.036641161419749754	-0.0995447345746371	0.026531087676571516	0.23788105947026486
set_E	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	contamination	signed	log10_dominant_genome_size_mbp	1000	785	0.11253276906033421	0.05159694779209611	0.17193444842379504	0.001999000499750125
set_E	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	completeness	abs	log10_dominant_genome_size_mbp	1000	785	0.07033685741984211	0.006464697889222378	0.1306692375666114	0.02798600699650175
set_E	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	completeness	signed	log10_dominant_genome_size_mbp	1000	785	0.12603047789612315	0.06231812698110319	0.18977648718977172	0.0009995002498750624
set_E	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	contamination	abs	log10_dominant_genome_size_mbp	1000	785	0.007339549482754971	-0.05275440369422496	0.07027816325725901	0.8125937031484258
set_E	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	contamination	signed	log10_dominant_genome_size_mbp	1000	785	0.110742887434723	0.04896985114355631	0.17267384327363075	0.001999000499750125
set_E	checkm2	CheckM2 1.0.1	completeness	abs	log10_dominant_genome_size_mbp	1000	785	0.17526728307535244	0.1185499816873428	0.23222132947235577	0.0009995002498750624
set_E	checkm2	CheckM2 1.0.1	completeness	signed	log10_dominant_genome_size_mbp	1000	785	0.3059416358880517	0.2450370687818506	0.36137885419117877	0.0009995002498750624
set_E	checkm2	CheckM2 1.0.1	contamination	abs	log10_dominant_genome_size_mbp	1000	785	-0.21863709203159704	-0.2819767843784284	-0.15556323176643785	0.0009995002498750624
set_E	checkm2	CheckM2 1.0.1	contamination	signed	log10_dominant_genome_size_mbp	1000	785	0.33719766521023276	0.2767155579502943	0.39332978927088513	0.0009995002498750624
set_E	cocopye	CoCoPyE 0.5.0	completeness	abs	log10_dominant_genome_size_mbp	1000	785	0.10018955661996702	0.04058946617256236	0.16127741657429795	0.0009995002498750624
set_E	cocopye	CoCoPyE 0.5.0	completeness	signed	log10_dominant_genome_size_mbp	1000	785	0.14281338086550707	0.08083235407632676	0.2054612872385396	0.0009995002498750624
set_E	cocopye	CoCoPyE 0.5.0	contamination	abs	log10_dominant_genome_size_mbp	1000	785	-0.12248456843493649	-0.18034628880104095	-0.06633481877471814	0.0009995002498750624
set_E	cocopye	CoCoPyE 0.5.0	contamination	signed	log10_dominant_genome_size_mbp	1000	785	0.2657631284240304	0.20484924450516226	0.32642567543890894	0.0009995002498750624
set_E	deepcheck	DeepCheck	completeness	abs	log10_dominant_genome_size_mbp	1000	785	0.3118751909148349	0.2584176045633163	0.36311213202859416	0.0009995002498750624
set_E	deepcheck	DeepCheck	completeness	signed	log10_dominant_genome_size_mbp	1000	785	0.35393397817684186	0.2938908287852366	0.4109377720845479	0.0009995002498750624
set_E	deepcheck	DeepCheck	contamination	abs	log10_dominant_genome_size_mbp	1000	785	-0.08999535332149558	-0.15088023038340592	-0.02822469600808637	0.00399800099950025
set_E	deepcheck	DeepCheck	contamination	signed	log10_dominant_genome_size_mbp	1000	785	0.25379586422309147	0.19085674319257961	0.31426257730099827	0.0009995002498750624
